LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,REASON_DebtCon,REASON_HomeImp,JOB_Mgr,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self,risk_group
10600,44696,57686,0,0,0,170.3409741,0,20,37.79255503,1,0,0,1,0,0,0,0,low risk
7800,38506,50309,11,0,0,231.0011955,0,32,35.90611585,1,0,0,0,1,0,0,0,low risk
65100,67389,142740,9,0,1,116.9061041,0,11,43.36871813,0,1,0,1,0,0,0,0,low risk
16400,63574,88586,8.922268136,0,0,298.1465517,0,20,29.15337202,0,1,0,0,1,0,0,0,low risk
11300,73760.8172,28600,20,0,0,190.0312176,0,15,39.00867302,0,1,0,1,0,0,0,0,low risk
12400,34055,40739,9,0.254569688,0,147.012827,6,29,39.93094736,1,0,0,0,1,0,0,0,low risk
21600,144276,190797,0,1,4,313.4273217,2,18,37.97135495,1,0,1,0,0,0,0,0,medium risk
11700,96532,107600,12,0,0,214.8698168,2,15,40.28741144,1,0,0,0,1,0,0,0,low risk
10700,55341,78062,3,0,1,192.5968546,0,12,28.82864931,0,1,0,0,1,0,0,0,low risk
68000,191000,288000,11,0,0,218.1,3,25,33.77991535,1,0,0,0,0,0,0,1,low risk
22500,44228,86872,24,0,0,256.2869189,1,6,26.85325902,0,1,0,0,1,0,0,0,low risk
7100,39000,55000,12,0,1,192.7666667,2,31,33.77991535,0,0,0,0,1,0,0,0,medium risk
6500,55000,88300,29,0,0,234.4,1,17,33.77991535,0,1,0,1,0,0,0,0,low risk
6000,69876,94394.07,0,0,1,179.5666667,0,32,33.77991535,0,1,0,0,1,0,0,0,medium risk
20800,58440,99244,1,0,4,174.9585772,0,46,37.48854569,1,0,0,1,0,0,0,0,low risk
12800,51800,68000,6,0.254569688,0.449442379,179.7662752,1.186055046,21.2960962,33.77991535,0,1,0,0,0,1,0,0,medium risk
11600,28654,47042,10,0.254569688,0,158.0847883,7,29,38.47750484,1,0,0,0,1,0,0,0,low risk
8100,81322,97823,3,0,0,118.468506,0,25,32.71677759,1,0,0,0,0,1,0,0,low risk
47000,164411,235500,17,0,1,181.9333333,3,48,33.77991535,1,0,0,1,0,0,0,0,medium risk
17300,48132,78889,4,0,0,133.1676855,0,8,28.29822706,1,0,1,0,0,0,0,0,low risk
18300,68517,97151,7,0,0,77.52181884,0,15,32.00405609,0,1,0,0,0,1,0,0,low risk
23500,54816,87000,3.5,0,1,223.2,0,17,33.77991535,1,0,0,0,1,0,0,0,medium risk
5900,70973,77989,7,0,0,120.3794143,0,24,41.44250046,0,1,0,0,1,0,0,0,low risk
17200,89507,121047,14,0,0,118.866134,1,9,34.6028274,1,0,0,0,1,0,0,0,low risk
5000,59900,80800,15,0,0,219.1333333,1,18,33.77991535,1,0,0,0,0,1,0,0,low risk
18000,54196,71412,10,0,0,189.8742704,1,42,37.3521051,1,0,0,0,0,1,0,0,low risk
